"C_C_C_C_C_C25","IntBasTrans","INTERBASIN  TRANSFER OUT(MM3)","0.0 : 1.0 : 15.0","C_C_C_C_C_C25",0
"C955","IntBasTransNels","C955: INTERBASIN TRANSFER FROM OUTSIDE NELSPRUIT MD:  KWENA & WITTEKLIP DAMS","0.0 : 10.0 : 170.0","C955",0
"C_C_C_C_C_C_C_C_C_C_C_C21","IrrCane_A","IRRIGATION: SUGARCANE (M3/A)","0.0 : 5000000.0 : 50000000.0","C_C_C_C_C_C_C_C_C_C_C_C21=C_C_C_C_C_C_C_C_C_C_C_C8_3 * 13527",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C21","IrrCane_B","IRRIGATION: SUGARCANE (M3/A)","0.0 : 5000000.0 : 50000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C21=C_C_C_C_C_C_C_C_C_C_C_C6 * 13527",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C23","IrrCaneFruit_A","IRRIGATION: SUGARCANE, FRUITS AND NUTS(M3/A)","0.0 : 10000000.0 : 150000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C23=C_C_C_C_C_C_C_C_C_C_C_C_C_C21 + C_C_C_C_C_C_C_C_C_C_C_C_C_C22",0
"C_C_C_C_C_C_C_C_C_C_C_C23","IrrCaneFruit_B","IRRIGATION: SUGARCANE, FRUITS AND NUTS(M3/A)","0.0 : 10000000.0 : 150000000.0","C_C_C_C_C_C_C_C_C_C_C_C23=C_C_C_C_C_C_C_C_C_C_C_C21+C_C_C_C_C_C_C_C_C_C_C_C22",0
"C_C_C_C_C_C_C_C_C_C_C_C15","IrrCereals_A","IRRIGATION: GRAIN AND WHEAT (M3/A)","0.0 : 1000000.0 : 12000000.0","C_C_C_C_C_C_C_C_C_C_C_C15=C_C_C_C_C_C_C_C_C_C_C_C19+C_C_C_C_C_C_C_C_C_C_C_C20",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C15","IrrCereals_B","IRRIGATION: GRAIN AND WHEAT (M3/A)","0.0 : 1000000.0 : 12000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C15=C_C_C_C_C_C_C_C_C_C_C_C_C_C19 + C_C_C_C_C_C_C_C_C_C_C_C_C_C20",0
"C_C_C_C_C_C_C_C_C_C_C_C22","IrrFruitVeg_A","IRRIGATION: FRUIT, VEG, NUTS (M3/A)","0.0 : 10000000.0 : 100000000.0","C_C_C_C_C_C_C_C_C_C_C_C22=8089*C_C_C_C_C_C_C_C_C_C_C_C8_4+8089*C_C_C_C_C_C_C_C_C_C_C_C4_2_2",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C22","IrrFruitVeg_B","IRRIGATION: FRUIT, VEG, NUTS (M3/A)","0.0 : 10000000.0 : 100000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C22=8089 * C_C_C_C_C_C_C_C_C_C_C_C5 + 8089 * C_C_C_C879",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C19","IrrGrain_A","IRRIGATION GRAIN(M3/A)","0.0 : 180000.0 : 1800000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C19=C_C_C_C_C_C_C_C_C_C_C_C4*7520",0
"C_C_C_C_C_C_C_C_C_C_C_C19","IrrGrain_B","IRRIGATION GRAIN(M3/A)","0.0 : 180000.0 : 1800000.0","C_C_C_C_C_C_C_C_C_C_C_C19=C_C_C_C_C_C_C_C_C_C_C_C8 * 7520",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2_1","IrrSoy_A","IRRIGATION: SOYBEANS (M3/A)","0.0 : 50000.0 : 500000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2_1=C_C_C_C878 * 4590",0
"C_C_C_C_C_C_C_C_C_C_C_C22_2_1","IrrSoy_B","IRRIGATION: SOYBEANS (M3/A)","0.0 : 50000.0 : 500000.0","C_C_C_C_C_C_C_C_C_C_C_C22_2_1=C_C_C_C_C_C_C_C_C_C_C_C4_2_1_1*4590",0
"C_C_C_C878","IrrSoyHA","C878: SOYBEANS IRRIGATED","0.0 : 10.0 : 100.0","C_C_C_C878",0
"C_C_C_C_C_C_C_C_C_C_C_C22_2","IrrSun_A","IRRIGATION: SUNFLOWER (M3/A)","0.0 : 20000.0 : 200000.0","C_C_C_C_C_C_C_C_C_C_C_C22_2=C_C_C_C_C_C_C_C_C_C_C_C_C4_2_2* 2940",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2","IrrSun_B","IRRIGATION: SUNFLOWER (M3/A)","0.0 : 20000.0 : 200000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2=C_C_C_C880 * 2940",0
